"excluded_llr","internal_V","actual_alpha","alpha_if_equality_included"
0.0556704356635978,0.0556704356635995,0.740234375,0.75390625
0.0716735310163155,0.0716735310163173,0.7255859375,0.740234375
0.100677567753444,0.100677567753446,0.7060546875,0.7255859375
0.169899036795397,0.169899036795399,0.671875,0.7060546875
0.201355135506889,0.20135513550689,0.64453125,0.671875
0.252671539215706,0.252671539215708,0.626953125,0.64453125
0.339798073590795,0.339798073590797,0.609375,0.626953125
0.509697110386192,0.509697110386194,0.59765625,0.609375
0.523248143764548,0.52324814376455,0.576171875,0.59765625
0.664143143822816,0.664143143822818,0.564453125,0.576171875
0.693147180559945,0.693147180559947,0.369140625,0.564453125
0.822828785050518,0.82282878505052,0.33984375,0.369140625
0.963723785108788,0.963723785108789,0.31640625,0.33984375
1.0464962875291,1.0464962875291,0.298828125,0.31640625
1.38629436111989,1.38629436111989,0.1953125,0.298828125
1.45551583016184,1.45551583016185,0.177734375,0.1953125
1.47096883352062,1.47096883352062,0.1630859375,0.177734375
1.92744757021758,1.92744757021758,0.1484375,0.1630859375
1.98121603590075,1.98121603590076,0.13671875,0.1484375
2.07944154167984,2.07944154167984,0.078125,0.13671875
2.53101615442807,2.53101615442807,0.0703125,0.078125
2.77258872223978,2.77258872223979,0.041015625,0.0703125
3.09883576245222,3.09883576245223,0.0361328125,0.041015625
3.46573590279973,3.46573590279973,0.021484375,0.0361328125
3.68064207168497,3.68064207168498,0.015625,0.021484375
4.15888308335967,4.15888308335968,0.0078125,0.015625
4.85203026391962,4.85203026391963,0.00390625,0.0078125
5.54517744447956,5.54517744447957,0.001953125,0.00390625
6.23832462503951,6.23832462503952,0.0009765625,0.001953125
6.93147180559945,6.93147180559947,0,0.0009765625
